,iata_code,latitude,longitude
358,ARD,-8.132336,124.597014
359,ARE,18.451111,-66.675556
360,ARF,0.567,-72.4
361,ARG,36.124667,-90.925111
362,ARH,64.60028,40.716667
363,ARI,-18.348531,-70.338742
364,ARJ,-2.917,140.783
365,ARK,-3.367794,36.633333
366,ARL,11.597,1.483
367,ARM,-30.528056,151.617222
368,ARN,59.651944,17.918611
369,ARO,8.833,-76.433
370,ARP,-9.867,149.483
371,ARQ,7.021058,-71.388864
372,ARR,-45.017,-70.8
373,ARS,-15.896733,-52.095564
374,ART,43.991917,-76.02175
375,ARU,-21.141342,-50.424722
376,ARV,45.927917,-89.730944
377,ARW,46.17655,21.262022
378,ARX,40.219444444444,-74.09
379,ARY,-37.309444,142.988611
380,ASA,13.071783,42.645006
381,ASB,37.986814,58.360967
382,ASC,-15.717,-63.1
383,ASD,24.698283,-77.795611
384,ASE,39.223167,-106.868861
385,ASF,46.283333,48.006278
386,ASG,-43.903333,171.796667
387,ASH,42.78175,-71.514778
388,ASI,-7.969597,-14.393664
389,ASJ,28.430633,129.712542
390,ASK,6.903167,-5.365581
391,ASL,32.5205,-94.307778
392,ASM,15.291853,38.910667
393,ASN,33.569471,-86.05123
394,ASO,10.01855,34.586253
395,ASP,-23.806667,133.902222
396,ASQ,39.467981,-117.19537
397,ASR,38.770386,35.495428
398,AST,46.157972,-123.878694
399,ASU,-25.23985,-57.519133
400,ASV,-2.633,37.25
401,ASW,23.964356,32.819975
402,ASX,46.548528,-90.918972
403,ASY,46.023863,-99.352614
404,ASZ,-5.867,150.367
405,ATA,-9.347444,-77.598392
406,ATB,17.709722,34.056944
407,ATD,-8.873333,161.011389
408,ATE,34.192601,-95.649859
409,ATF,-1.212067,-78.574636
410,ATG,33.9,72.25
411,ATH,37.936358,23.944467
412,ATI,-30.400706,-56.507869
413,ATJ,-19.836944,47.065278
414,ATK,70.467276,-157.435736
415,ATL,33.63672,-84.428066
416,ATM,-3.253906,-52.253978
417,ATN,-3.667,152.433
418,ATO,39.211893,-82.229255
419,ATP,-3.133,142.333
420,ATQ,31.709594,74.797264
421,ATR,20.506828,-13.043194
422,ATS,32.852528,-104.467686
423,ATT,60.866746,-162.273139
424,ATU,52.832542,173.175554
425,ATV,13.238889,18.313333
426,ATW,44.258083,-88.519083
427,ATX,51.851667,68.363333
428,ATY,44.913972,-97.154722
429,ATZ,27.046508,31.011983
430,AUA,12.501389,-70.015221
431,AUB,-7.1,-41.983333333333
432,AUC,7.068889,-70.736944
433,AUD,-18.5075,139.883611
434,AUE,28.899017,33.202461
435,AUF,47.846328,3.496578
436,AUG,44.32065,-69.797318
437,AUH,24.432972,54.651138
438,AUI,-1.45,143.067
439,AUJ,-4.217,142.817
440,AUK,62.680044,-164.659925
441,AUL,8.145277,171.173056
442,AUM,43.662639,-92.932917
443,AUN,38.954806,-121.081722
444,AUO,32.615111,-85.434
445,AUP,-9.917,149.383
446,AUQ,-9.768794,-139.011256
447,AUR,44.897583,2.416719
448,AUT,-8.267,125.602
449,AUU,-13.353889,141.720833
450,AUV,-5.7333333333333,148.5
451,AUW,44.926285,-89.627002
452,AUX,-7.227867,-48.240467
453,AUY,-20.249167,169.771389
454,AUZ,41.771917,-88.475667
455,AVA,26.260556,105.873056
456,AVB,46.031889,12.596472
457,AVF,46.2,6.7666666666667
458,AVG,-15.690278,130.008611
459,AVI,22.027053,-78.789617
460,AVK,46.250397,102.802078
